,match_id,radiant_win,cluster,game_mode,account_id0,player_slot0,hero_id0,account_id1,player_slot1,hero_id1,account_id2,player_slot2,hero_id2,account_id3,player_slot3,hero_id3,account_id4,player_slot4,hero_id4,account_id5,player_slot5,hero_id5,account_id6,player_slot6,hero_id6,account_id7,player_slot7,hero_id7,account_id8,player_slot8,hero_id8,account_id9,player_slot9,hero_id9,player_team0,player_position0,player_team1,player_position1,player_team2,player_position2,player_team3,player_position3,player_team4,player_position4,player_team5,player_position5,player_team6,player_position6,player_team7,player_position7,player_team8,player_position8,player_team9,player_position9
0,6434032561,True,236,22,431208270,0,106,4294967295,1,27,150919618,2,14,133106133,3,97,183198227,4,1,404952410,128,6,4294967295,129,79,470757916,130,30,4294967295,131,99,4294967295,132,74,0,0,0,1,0,2,0,3,0,4,1,0,1,1,1,2,1,3,1,4
1,6434031424,True,225,22,4294967295,0,84,4294967295,1,100,4294967295,2,90,91391315,3,87,258291132,4,6,311662639,128,104,168948946,129,34,399326614,130,62,161573244,131,126,106763496,132,111,0,0,0,1,0,2,0,3,0,4,1,0,1,1,1,2,1,3,1,4
2,6434031423,False,236,22,4294967295,0,8,1216850105,1,112,4294967295,2,94,1247579441,3,79,4294967295,4,71,4294967295,128,75,4294967295,129,12,4294967295,130,14,4294967295,131,9,4294967295,132,73,0,0,0,1,0,2,0,3,0,4,1,0,1,1,1,2,1,3,1,4
3,6434031216,False,117,22,4294967295,0,9,4294967295,1,35,4294967295,2,104,4294967295,3,36,4294967295,4,39,4294967295,128,8,4294967295,129,112,4294967295,130,70,297788940,131,84,4294967295,132,4,0,0,0,1,0,2,0,3,0,4,1,0,1,1,1,2,1,3,1,4
4,6434031168,False,232,22,4294967295,0,29,247117492,1,22,185445902,2,53,4294967295,3,83,140807667,4,5,138457705,128,64,92986394,129,121,856017963,130,74,141713467,131,6,183301902,132,40,0,0,0,1,0,2,0,3,0,4,1,0,1,1,1,2,1,3,1,4
5,6434030744,False,153,22,4294967295,0,99,1196365207,1,39,4294967295,2,22,4294967295,3,17,4294967295,4,59,4294967295,128,58,4294967295,129,41,4294967295,130,26,4294967295,131,11,4294967295,132,12,0,0,0,1,0,2,0,3,0,4,1,0,1,1,1,2,1,3,1,4
6,6434029872,True,232,22,150114766,0,57,145443841,1,44,4294967295,2,7,4294967295,3,26,140866103,4,35,4294967295,128,75,295218042,129,71,152011764,130,14,1012347388,131,74,197310567,132,89,0,0,0,1,0,2,0,3,0,4,1,0,1,1,1,2,1,3,1,4
7,6434029298,True,232,22,206165093,0,40,216911765,1,55,201166697,2,6,4294967295,3,86,4294967295,4,71,120852055,128,29,1267761733,129,98,151414294,130,46,4294967295,131,62,4294967295,132,2,0,0,0,1,0,2,0,3,0,4,1,0,1,1,1,2,1,3,1,4
8,6434028587,True,227,22,4294967295,0,10,186089556,1,100,158537147,2,87,238706509,3,8,4294967295,4,2,4294967295,128,136,363234919,129,36,4294967295,130,75,279579148,131,67,4294967295,132,35,0,0,0,1,0,2,0,3,0,4,1,0,1,1,1,2,1,3,1,4
9,6434026327,True,182,22,4294967295,0,21,4294967295,1,27,4294967295,2,81,4294967295,3,11,347756081,4,25,4294967295,128,113,4294967295,129,99,4294967295,130,62,4294967295,131,47,4294967295,132,42,0,0,0,1,0,2,0,3,0,4,1,0,1,1,1,2,1,3,1,4
10,6434026086,True,156,22,102632032,0,44,4294967295,1,14,110869875,2,30,147065353,3,128,157873955,4,68,1072777458,128,6,4294967295,129,86,4294967295,130,22,4294967295,131,119,4294967295,132,96,0,0,0,1,0,2,0,3,0,4,1,0,1,1,1,2,1,3,1,4
11,6434026065,True,187,22,912816766,0,18,895038339,1,30,122438784,2,71,4294967295,3,22,4294967295,4,114,169707858,128,92,94066382,129,100,4294967295,130,28,4294967295,131,63,1129807442,132,1,0,0,0,1,0,2,0,3,0,4,1,0,1,1,1,2,1,3,1,4
12,6434025586,True,183,22,4294967295,0,71,4294967295,1,19,4294967295,2,63,4294967295,3,93,4294967295,4,5,4294967295,128,31,4294967295,129,54,4294967295,130,67,4294967295,131,34,4294967295,132,2,0,0,0,1,0,2,0,3,0,4,1,0,1,1,1,2,1,3,1,4
13,6434025509,True,152,22,382081619,0,30,1081779757,1,48,322503209,2,59,4294967295,3,43,345318145,4,7,4294967295,128,18,4294967295,129,45,910119621,130,11,4294967295,131,83,4294967295,132,54,0,0,0,1,0,2,0,3,0,4,1,0,1,1,1,2,1,3,1,4
14,6434024976,True,193,22,4294967295,0,28,4294967295,1,27,4294967295,2,47,4294967295,3,1,4294967295,4,39,4294967295,128,46,4294967295,129,101,4294967295,130,73,4294967295,131,26,4294967295,132,6,0,0,0,1,0,2,0,3,0,4,1,0,1,1,1,2,1,3,1,4
15,6434024900,False,227,22,137347316,0,26,272363404,1,2,210750366,2,76,127809263,3,22,4294967295,4,1,870372100,128,13,109891158,129,51,162272571,130,21,882356868,131,100,356012751,132,10,0,0,0,1,0,2,0,3,0,4,1,0,1,1,1,2,1,3,1,4
16,6434024807,True,231,22,96073380,0,50,4294967295,1,94,261104956,2,84,138922683,3,63,4294967295,4,42,329590023,128,5,138648540,129,53,4294967295,130,51,138423111,131,9,4294967295,132,6,0,0,0,1,0,2,0,3,0,4,1,0,1,1,1,2,1,3,1,4
17,6434145538,False,232,22,4294967295,0,29,92986394,1,58,185445902,2,53,141713467,3,105,247117492,4,23,138457705,128,52,856017963,129,123,140807667,130,93,4294967295,131,96,155445811,132,83,0,0,0,1,0,2,0,3,0,4,1,0,1,1,1,2,1,3,1,4
18,6434145127,True,225,22,120852055,0,37,216911765,1,99,4294967295,2,111,295558029,3,6,139794289,4,108,206165093,128,29,4294967295,129,2,134048785,130,69,130083764,131,85,207319487,132,53,0,0,0,1,0,2,0,3,0,4,1,0,1,1,1,2,1,3,1,4
