,match_id,game_mode
0,6434598439,19
1,6434598340,19
2,6434597687,13
3,6434597535,19
4,6434597462,1
5,6434597442,19
6,6434597383,19
7,6434597382,19
8,6434596936,19
9,6434596915,19
10,6434596479,19
11,6434596274,19
12,6434596147,19
13,6434596093,19
14,6434595868,13
15,6434595579,13
16,6434595421,13
17,6434595399,19
18,6434595215,19
19,6434595028,19
20,6434594972,19
21,6434594811,13
22,6434594799,19
23,6434594658,13
24,6434594614,19
25,6434594599,19
26,6434594539,13
27,6434594487,19
28,6434608452,19
29,6434607327,19
30,6434606868,19
31,6434606793,19
32,6434606289,1
33,6434606264,19
34,6434606196,19
35,6434606145,13
36,6434606042,19
37,6434605858,13
38,6434605850,19
39,6434605494,19
40,6434605245,13
41,6434605161,19
42,6434605134,13
43,6434604930,19
44,6434604832,19
45,6434604815,19
46,6434604811,19
47,6434604694,13
48,6434604676,19
49,6434604514,13
50,6434604467,1
51,6434604466,19
52,6434604441,19
53,6434604377,19
54,6434604375,19
55,6434604288,19
56,6434604219,13
57,6434604135,19
58,6434604065,19
59,6434604054,19
60,6434603966,19
61,6434603867,13
62,6434603843,19
63,6434603770,19
64,6434603599,13
65,6434603376,19
66,6434603348,19
67,6434603317,1
68,6434603263,19
69,6434603163,19
70,6434603031,19
71,6434602983,19
72,6434602886,19
73,6434602787,19
74,6434602664,19
75,6434602489,19
76,6434602359,19
77,6434602357,19
78,6434602213,19
79,6434602169,19
80,6434602119,19
81,6434602092,19
82,6434601917,13
83,6434601868,19
84,6434601745,13
85,6434601685,19
86,6434601591,13
87,6434601558,19
88,6434601485,19
89,6434601404,13
90,6434601402,13
91,6434601263,19
92,6434601243,13
93,6434601227,19
94,6434601111,19
95,6434601106,19
96,6434600965,13
97,6434600905,19
98,6434600875,19
99,6434600782,13
100,6434600451,13
101,6434600392,19
102,6434600334,19
103,6434600211,1
104,6434600090,19
105,6434600063,19
106,6434599942,19
107,6434599782,19
108,6434599758,19
109,6434599717,13
110,6434599713,13
111,6434599610,19
112,6434599575,19
113,6434599569,13
114,6434599490,19
115,6434599487,19
116,6434599272,19
117,6434599062,19
118,6434599011,19
119,6434599006,19
120,6434598969,19
121,6434598958,19
122,6434598786,19
123,6434598753,19
124,6434598510,19
125,6434598505,19
126,6434598439,19
127,6434598364,13
128,6434598364,13
129,6434598340,19
130,6434598307,19
131,6434598176,19
132,6434598109,19
133,6434598093,13
134,6434598084,13
135,6434597964,19
136,6434597847,19
137,6434597788,19
138,6434597787,19
139,6434597695,19
140,6434597687,13
141,6434597600,13
142,6434597584,19
143,6434597535,19
144,6434597512,1
145,6434597462,1
146,6434597442,19
147,6434597421,19
148,6434597418,19
149,6434597383,19
150,6434597382,19
151,6434597373,13
152,6434597235,19
153,6434597167,19
154,6434597057,19
155,6434596999,19
156,6434596971,19
157,6434596936,19
158,6434596915,19
159,6434596885,13
160,6434596811,13
161,6434596689,19
162,6434596688,19
163,6434596676,19
164,6434596656,19
165,6434596576,19
166,6434596479,19
167,6434596458,19
168,6434596452,19
169,6434596385,19
170,6434596382,19
171,6434596326,1
172,6434596274,19
173,6434596147,19
174,6434596093,19
175,6434596037,19
176,6434596030,23
177,6434595868,13
178,6434595668,19
179,6434595579,13
180,6434595441,19
181,6434595421,13
182,6434595399,19
183,6434595341,19
184,6434595333,19
