,match_id,start_time
0,6434032561,1644992457
1,6434031424,1644992369
2,6434031423,1644992369
3,6434031216,1644992348
4,6434031168,1644992343
5,6434030744,1644992302
6,6434029872,1644992245
7,6434029298,1644992188
8,6434028587,1644992141
9,6434026327,1644991960
10,6434026086,1644991945
11,6434026065,1644991944
12,6434025586,1644991898
13,6434025509,1644991899
14,6434024976,1644991841
15,6434024900,1644991816
16,6434024807,1644991841
17,6434145538,1645000371
18,6434145127,1645000339
19,6434144526,1645000288
20,6434144392,1645000298
21,6434143722,1645000226
22,6434143082,1645000201
23,6434143029,1645000215
24,6434141108,1645000075
25,6434140747,1645000066
26,6434140672,1645000044
27,6434153893,1645000893
28,6434152232,1645000791
29,6434151368,1645000734
30,6434149713,1645000629
31,6434149520,1645000624
32,6434147632,1645000485
33,6434146685,1645000443
34,6434146666,1645000434
35,6434215692,1645004739
36,6434215414,1645004723
37,6434214286,1645004652
38,6434212818,1645004553
39,6434212090,1645004506
40,6434212079,1645004517
41,6434234107,1645005842
42,6434233750,1645005827
43,6434230426,1645005609
44,6434229352,1645005546
45,6434228766,1645005521
46,6434227288,1645005433
47,6434226804,1645005413
48,6434242283,1645006318
49,6434240560,1645006215
50,6434240351,1645006204
51,6434240296,1645006204
52,6434238978,1645006126
53,6434238662,1645006110
54,6434238659,1645006096
55,6434237988,1645006064
56,6434237582,1645006048
57,6434236736,1645005997
58,6434236603,1645005991
59,6434236603,1645005991
60,6434236203,1645005967
61,6434235675,1645005935
62,6434235469,1645005924
63,6434250809,1645006804
64,6434249219,1645006712
65,6434247489,1645006613
66,6434246466,1645006550
67,6434245867,1645006521
68,6434244841,1645006452
69,6434243881,1645006410
70,6434243767,1645006401
71,6434243319,1645006380
72,6434242799,1645006348
73,6434242283,1645006318
74,6434262436,1645007462
75,6434261807,1645007426
76,6434259747,1645007306
77,6434258457,1645007234
78,6434257496,1645007176
79,6434256229,1645007111
80,6434255922,1645007085
81,6434254851,1645007032
82,6434254413,1645007001
83,6434254029,1645006980
84,6434253714,1645006949
85,6434274586,1645008134
86,6434270723,1645007927
87,6434270118,1645007892
88,6434269426,1645007844
89,6434268700,1645007814
90,6434268495,1645007804
91,6434268203,1645007788
92,6434267664,1645007757
93,6434267607,1645007757
94,6434267476,1645007747
95,6434267271,1645007725
96,6434292916,1645009113
97,6434290369,1645008984
98,6434287709,1645008843
99,6434286503,1645008778
100,6434286336,1645008767
101,6434286263,1645008756
102,6434285238,1645008709
103,6434284737,1645008679
104,6434284573,1645008673
105,6434284200,1645008652
106,6434283767,1645008632
107,6434295816,1645009267
108,6434294793,1645009211
109,6434293908,1645009165
110,6434292916,1645009113
